#    x    cos(x)   sin(x)   exp(x)
0.000000 0.000000 1.000000 1.000000
0.100000 0.099833 0.995004 1.105171
0.200000 0.198669 0.980067 1.221403
0.300000 0.295520 0.955336 1.349859
0.400000 0.389418 0.921061 1.491825
0.500000 0.479426 0.877583 1.648721
0.600000 0.564642 0.825336 1.822119
0.700000 0.644218 0.764842 2.013753
0.800000 0.717356 0.696707 2.225541
0.900000 0.783327 0.621610 2.459603
1.000000 0.841471 0.540302 2.718282
1.100000 0.891207 0.453596 3.004166
1.200000 0.932039 0.362358 3.320117
1.300000 0.963558 0.267499 3.669297
1.400000 0.985450 0.169967 4.055200
1.500000 0.997495 0.070737 4.481689
1.600000 0.999574 -0.029200 4.953032
1.700000 0.991665 -0.128844 5.473947
1.800000 0.973848 -0.227202 6.049647
1.900000 0.946300 -0.323290 6.685894
2.000000 0.909297 -0.416147 7.389056
2.100000 0.863209 -0.504846 8.166170
2.200000 0.808496 -0.588501 9.025013
2.300000 0.745705 -0.666276 9.974182
2.400000 0.675463 -0.737394 11.023176
2.500000 0.598472 -0.801144 12.182494
2.600000 0.515501 -0.856889 13.463738
2.700000 0.427380 -0.904072 14.879732
2.800000 0.334988 -0.942222 16.444647
2.900000 0.239249 -0.970958 18.174145
3.000000 0.141120 -0.989992 20.085537
3.100000 0.041581 -0.999135 22.197951
3.200000 -0.058374 -0.998295 24.532530
3.300000 -0.157746 -0.987480 27.112639
3.400000 -0.255541 -0.966798 29.964100
3.500000 -0.350783 -0.936457 33.115452
3.600000 -0.442520 -0.896758 36.598234
3.700000 -0.529836 -0.848100 40.447304
3.800000 -0.611858 -0.790968 44.701184
3.900000 -0.687766 -0.725932 49.402449
4.000000 -0.756802 -0.653644 54.598150
4.100000 -0.818277 -0.574824 60.340288
4.200000 -0.871576 -0.490261 66.686331
4.300000 -0.916166 -0.400799 73.699794
4.400000 -0.951602 -0.307333 81.450869
4.500000 -0.977530 -0.210796 90.017131
4.600000 -0.993691 -0.112153 99.484316
4.700000 -0.999923 -0.012389 109.947172
4.800000 -0.996165 0.087499 121.510418
4.900000 -0.982453 0.186512 134.289780
5.000000 -0.958924 0.283662 148.413159
5.100000 -0.925815 0.377978 164.021907
5.200000 -0.883455 0.468517 181.272242
5.300000 -0.832267 0.554374 200.336810
5.400000 -0.772764 0.634693 221.406416
5.500000 -0.705540 0.708670 244.691932
5.600000 -0.631267 0.775566 270.426407
5.700000 -0.550686 0.834713 298.867401
5.800000 -0.464602 0.885520 330.299560
5.900000 -0.373877 0.927478 365.037468
6.000000 -0.279415 0.960170 403.428793
6.100000 -0.182163 0.983268 445.857770
6.200000 -0.083089 0.996542 492.749041
