# t mean (error)  roughn.  (error)  size
   0 1.139900 0.004552 1.045711 0.008160 10
   1 2.652300 0.010734 1.547908 0.013531 10
   2 4.407400 0.017232 1.835523 0.018433 10
   3 6.245100 0.023306 1.994514 0.022054 10
   4 8.157600 0.029154 2.099819 0.025021 10
   5 10.131100 0.034953 2.141195 0.026198 10
   6 12.082300 0.040842 2.143117 0.026883 10
   7 14.035900 0.045529 2.169669 0.027296 10
   8 16.007700 0.048990 2.202109 0.028775 10
   9 17.962800 0.052295 2.192410 0.029424 10
   10 19.942300 0.055918 2.191078 0.028840 10
   11 21.922700 0.059670 2.200801 0.028833 10
   12 23.901100 0.063703 2.142893 0.028301 10
   13 25.834800 0.067330 2.174323 0.028849 10
   14 27.814500 0.069765 2.172178 0.026518 10
   15 29.788200 0.073460 2.178605 0.026951 10
   16 31.753000 0.075771 2.158171 0.028191 10
   17 33.737000 0.077543 2.178406 0.028617 10
   18 35.706800 0.080304 2.163685 0.028983 10
   19 37.669200 0.083632 2.155392 0.029024 10
   20 39.631500 0.085840 2.141569 0.028755 10
   21 41.596700 0.088130 2.135921 0.026719 10
   22 43.544300 0.090713 2.165204 0.027293 10
   23 45.495700 0.093365 2.151390 0.028079 10
   24 47.458600 0.095331 2.133409 0.027238 10
   25 49.415300 0.097424 2.124491 0.028335 10
   26 51.377100 0.099645 2.126132 0.027595 10
   27 53.308900 0.101075 2.161760 0.028096 10
   28 55.261200 0.102980 2.191406 0.028287 10
   29 57.239100 0.104134 2.155558 0.028017 10
   30 59.211700 0.105781 2.175230 0.027765 10
   31 61.163700 0.107953 2.210732 0.028123 10
   32 63.164800 0.109733 2.206519 0.028689 10
   33 65.134200 0.112831 2.174732 0.029305 10
   34 67.087000 0.114014 2.153882 0.027798 10
   35 69.046000 0.115979 2.138265 0.026769 10
   36 71.020600 0.116743 2.159557 0.027429 10
   37 72.994900 0.118853 2.187931 0.028590 10
   38 74.952200 0.119979 2.199882 0.028823 10
   39 76.916300 0.120991 2.192813 0.028923 10
   40 78.852700 0.122452 2.209043 0.029289 10
   41 80.829000 0.123638 2.201196 0.029033 10
   42 82.804700 0.125176 2.189092 0.028681 10
   43 84.772600 0.126597 2.178781 0.027606 10
   44 86.737000 0.127866 2.209814 0.029313 10
   45 88.694100 0.129801 2.198595 0.029716 10
   46 90.647600 0.131703 2.210053 0.029286 10
   47 92.632800 0.133623 2.223808 0.028836 10
   48 94.625700 0.134012 2.167898 0.029107 10
   49 96.572100 0.135835 2.189356 0.028927 10
