# t mean (error)  roughn.  (error)  size
   0 1.138000 0.011615 1.038119 0.026190 10
   1 2.676000 0.038379 1.536008 0.044481 10
   2 4.475000 0.059090 1.788603 0.062166 10
   3 6.319000 0.077521 1.926416 0.066456 10
   4 8.251000 0.097292 2.043272 0.067265 10
   5 10.113000 0.117453 2.295077 0.088485 10
   6 12.079000 0.134196 2.318246 0.102180 10
   7 14.028000 0.153110 2.410820 0.098798 10
   8 16.055000 0.173289 2.330318 0.100238 10
   9 18.063000 0.183571 2.367920 0.100295 10
   10 20.033000 0.189705 2.454979 0.104648 10
   11 22.092000 0.184789 2.312750 0.101513 10
   12 24.072000 0.201525 2.337208 0.105871 10
   13 26.113000 0.211759 2.300814 0.103531 10
   14 28.138000 0.215593 2.183623 0.106609 10
   15 30.073000 0.234774 2.216031 0.097240 10
   16 32.029000 0.247559 2.190837 0.091516 10
   17 34.012000 0.265882 2.271336 0.098997 10
   18 35.998000 0.279212 2.172775 0.088594 10
   19 37.925000 0.285722 2.194992 0.092622 10
   20 39.904000 0.291952 2.255622 0.105245 10
   21 41.921000 0.293021 2.287003 0.092339 10
   22 43.900000 0.307542 2.312014 0.102247 10
   23 45.884000 0.312590 2.224984 0.100927 10
   24 47.883000 0.322378 2.180054 0.097849 10
   25 49.794000 0.340035 2.169659 0.098953 10
   26 51.785000 0.345594 2.062886 0.085114 10
   27 53.614000 0.346104 2.106903 0.090841 10
   28 55.594000 0.360196 2.110809 0.091192 10
   29 57.511000 0.362767 2.112274 0.094698 10
   30 59.481000 0.365982 2.050416 0.101259 10
   31 61.369000 0.377337 2.083648 0.079220 10
   32 63.333000 0.382960 2.049465 0.079683 10
   33 65.217000 0.392570 2.091923 0.090496 10
   34 67.187000 0.405654 2.133310 0.088654 10
   35 69.138000 0.399272 2.073804 0.087729 10
   36 71.115000 0.408281 2.160273 0.080172 10
   37 73.109000 0.403768 2.185907 0.072829 10
   38 75.024000 0.410642 2.390025 0.083193 10
   39 76.978000 0.400562 2.420219 0.094149 10
   40 79.070000 0.398607 2.329692 0.093622 10
   41 81.123000 0.396764 2.212523 0.089208 10
   42 83.128000 0.403017 2.241322 0.093327 10
